ticker,financial_period,field,status,reason
BIZIM.IS,2022Q2,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q2,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q2,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q2,ev_ebitda,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q2,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q2,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2022Q3,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,ihracat_orani,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2022Q3,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q3,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q3,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q3,ev_ebitda,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q3,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q3,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2022Q4,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q4,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q4,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2022Q4,ev_ebitda,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q4,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2022Q4,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2023Q1,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,ihracat_orani,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2023Q1,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q1,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q1,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q1,ev_ebitda,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2023Q1,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q1,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2023Q2,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q2,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q2,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q2,ev_ebitda,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2023Q2,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q2,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2023Q3,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q3,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q3,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q3,ev_ebitda,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2023Q3,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q3,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2023Q4,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q4,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q4,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2023Q4,ev_ebitda,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2023Q4,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2023Q4,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2024Q1,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q1,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q1,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q1,ev_ebitda,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2024Q1,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q1,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2024Q2,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q2,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q2,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q2,ev_ebitda,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2024Q2,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q2,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2024Q3,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q3,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q3,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q3,ev_ebitda,MISSING,SOURCE_VALUE_UNAVAILABLE_OR_NOT_APPLICABLE
BIZIM.IS,2024Q3,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q3,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2024Q4,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q4,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q4,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2024Q4,ev_ebitda,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q4,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
BIZIM.IS,2024Q4,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
BIZIM.IS,2025Q1,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
BIZIM.IS,2025Q1,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
